GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "06000","California",8,CAGDP2,1,"...","All industry total","Thousands of dollars",1375761291,1418429562,1497918657,1588177383,1698560406,1812209985,1898902003,1944695344,1890165874,1954092678,2023500032,2113096440,2220389868,2335286492,2473555865,2569634021,2730973927,2895100990,3052645229,3007187685
 "06000","California",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",1198531481,1230883420,1300906955,1382620408,1483785689,1585979972,1656453141,1690132208,1635862402,1696461564,1760303619,1848525717,1945187135,2045816229,2167473394,2252139859,2408572999,2559674297,2705816517,2656837601
 "06000","California",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",17749814,18595164,21050937,25241332,25303869,24292900,28378546,25620563,24876052,28087619,32158183,33913766,37483248,40346781,37318093,36657034,38866619,38494344,37532157,40765920
 "06000","California",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",6425729,5924601,7005804,9135741,12696107,17709020,21468878,25746863,17899367,18379822,20641820,21451714,20018556,18032674,9724627,8244182,10365426,11641767,9879373,6053416
 "06000","California",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",14630480,20244057,20980639,20775535,20983418,25211271,25453059,24990934,27439378,28578297,30032913,29520260,31122993,32111013,33234519,34053497,37746384,39307896,40102371,42758304
 "06000","California",8,CAGDP2,11,"23","  Construction","Thousands of dollars",58696863,59866295,66903666,80980734,92235304,97663055,94706399,76937017,65342141,61678221,59050539,64176783,72796536,78629918,88683492,97088669,105471241,113832878,122277606,120389854
 "06000","California",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",177772615,162322555,176916730,183880184,208625766,222745394,233720572,250084832,232587138,227608164,226284891,237967810,251269769,264961160,280043844,285541969,314935557,343559003,356504852,356435771
 "06000","California",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",112971520,106393880,112193197,112767011,124371860,128697002,133754745,133198492,130023884,131671141,137986689,141529234,148766005,154964080,166442883,174019711,191869090,205334873,209453304,216069361
 "06000","California",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",64801095,55928675,64723533,71113173,84253906,94048392,99965827,116886340,102563254,95937023,88298202,96438576,102503764,109997080,113600961,111522258,123066467,138224130,147051548,140366409
 "06000","California",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",76110537,76295081,79943444,84723624,93261811,101911251,108348860,109304054,99363169,106775493,117675404,120398964,128182243,139142061,152151049,147933148,154266927,159656556,169713584,162020733
 "06000","California",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",98986866,102979784,108587048,115006056,121203077,126441647,123311013,115337193,109475791,113936493,116389575,122471009,129807074,132945517,139281809,140680647,144744175,148408175,157969460,158148271
 "06000","California",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",33775628,33794442,34840727,38873830,40429782,46044765,45664320,45827833,43181194,46545668,48073291,48540086,51588406,55295681,61131446,67277219,71855023,79010837,89726991,73441555
 "06000","California",8,CAGDP2,45,"51","  Information","Thousands of dollars",92899740,100870564,105091547,117589733,119839810,127098006,137228279,141997658,130942712,147306330,151950363,154113470,183340236,192858100,219700183,243545251,267664157,281353573,305360652,317647107
 "06000","California",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",269815699,284517214,296480469,300362110,324428350,342438517,357606776,360564886,381692558,395510283,406366674,427596619,441159841,454783383,463179338,475465774,510756075,542164092,563363927,573193159
 "06000","California",8,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",77119783,81935813,89807949,86863868,95899152,104979362,100279179,82312285,94545783,95388442,99476767,111917016,113378289,123046345,128480301,131933338,145287457,156344986,157588014,170196678
 "06000","California",8,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",192695916,202581401,206672520,213498242,228529197,237459155,257327596,278252601,287146775,300121841,306889907,315679603,327781552,331737038,334699037,343532436,365468618,385819106,405775912,402996481
 "06000","California",8,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",181756156,180011490,186886681,195745435,207069296,222911332,241608583,261470508,245282673,255369300,272702416,294427205,293932488,313318350,337246120,348553859,367682490,398127884,423700182,427121892
 "06000","California",8,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",112872186,113285487,117213717,121782182,131264696,142660114,155520578,174905891,164283589,170262333,182968027,200060332,196905374,210617219,228860156,232272479,243915195,265462301,284381078,287587459
 "06000","California",8,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",27985061,25295482,25444243,26217845,24833849,25692586,26718411,26423710,25223498,26557535,28541932,30044660,34008574,35900516,37798884,39360153,40478595,46253854,46818111,49214879
 "06000","California",8,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",40898908,41430522,44228722,47745407,50970751,54558632,59369593,60140907,55775586,58549433,61192457,64322213,63018539,66800615,70587080,76921227,83288700,86411728,92500993,90319554
 "06000","California",8,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",78901823,87111471,93748396,101224646,105556149,112770424,118726783,131351334,140973759,147660819,154785345,162718075,168259358,174617592,185743211,197541709,206425507,217514428,230573540,225942219
 "06000","California",8,CAGDP2,69,"61","   Educational services","Thousands of dollars",10750880,11601882,12956288,14436040,14857454,16136138,16981380,19081010,21486920,23123212,24294285,25499783,26127847,27818231,28734655,30318580,31154988,33074046,35199291,31872021
 "06000","California",8,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",68150943,75509589,80792108,86788606,90698694,96634286,101745403,112270324,119486839,124537607,130491060,137218292,142131511,146799361,157008557,167223129,175270519,184440382,195374250,194070198
 "06000","California",8,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",55399592,59927476,64807462,69455928,70621685,75141566,76345306,78040423,75217430,77398463,81866519,87278864,91175722,100621146,109776238,118277290,124172181,130473104,140750389,101478665
