GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "25000","Massachusetts",1,CAGDP2,1,"...","All industry total","Thousands of dollars",296868687,301836397,311188581,326737058,341993151,359269989,378519094,390778371,390504837,411136078,425522989,442916912,454321198,470468539,498851339,514637566,532354294,564047300,593256705,582476824
 "25000","Massachusetts",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",265387125,268972283,277235363,291308668,304875791,320215373,336835131,347045644,345823892,365818884,377334572,396203918,405938461,420441505,447015296,462802821,478999724,508083954,535837559,525509055
 "25000","Massachusetts",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",660409,684170,706865,758538,826858,1006680,954666,949883,1018974,1226836,1076621,1078775,938484,731005,764476,714403,755144,747580,781690,740373
 "25000","Massachusetts",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",143482,135809,136275,158949,141256,160820,246566,148462,171086,161309,161684,159362,162862,189246,220407,271730,210635,202754,248629,244177
 "25000","Massachusetts",1,CAGDP2,10,"22","  Utilities","Thousands of dollars",3691391,3142939,3394130,3448886,3571594,4764295,4921142,5848309,4793218,5531172,5631081,5364902,5862519,6098968,6247097,5870958,6921406,7576556,8315054,8515786
 "25000","Massachusetts",1,CAGDP2,11,"23","  Construction","Thousands of dollars",12774993,13020176,13073912,14012376,14947669,15143469,15089265,13978327,12645059,12044867,12531291,13725461,14690310,15509270,17155968,18461149,19889702,21138447,22591276,21829426
 "25000","Massachusetts",1,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",36885829,36980621,40191383,38000461,38456222,41110249,45073446,42157363,41336145,45043970,45361629,46677383,46605907,48824389,51259987,50427885,50105512,53689911,55035114,54617574
 "25000","Massachusetts",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",26953288,26398422,29523589,27850421,28102317,29105257,31906028,29046369,27311495,31305548,32045066,32404406,31232621,31356840,32829250,33231378,33025970,34339117,35207860,34238239
 "25000","Massachusetts",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",9932541,10582199,10667794,10150041,10353905,12004992,13167418,13110994,14024651,13738422,13316562,14272977,15373287,17467548,18430737,17196507,17079543,19350794,19827254,20379334
 "25000","Massachusetts",1,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",17233029,16407016,17323840,18357808,18429769,19997425,20881799,21813021,21304583,22232251,22824517,22991188,24061457,24826310,26067553,26469957,27121390,27071938,27823260,27546086
 "25000","Massachusetts",1,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",15472983,15891247,16779036,17570765,18051944,17745724,17311410,17009104,17019894,17650966,17709589,17948412,18572615,18954658,19968282,20846300,21434867,22382362,23952793,23686506
 "25000","Massachusetts",1,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",4722864,4920912,5256245,5742408,6055820,6106798,6313742,6361430,6214848,6610688,7092579,7183040,7451570,7982144,8777902,9309178,9822177,10271803,11290302,8172857
 "25000","Massachusetts",1,CAGDP2,45,"51","  Information","Thousands of dollars",14126064,15413005,15094108,17234561,18754598,18771735,20128941,22938190,21921688,24239836,24839697,24319399,25363984,25560856,27099371,27972026,28652322,30327620,32333489,34520804
 "25000","Massachusetts",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",69854713,70060624,69990454,73618777,77410543,80777003,83612712,83615961,86498461,90747245,93379795,101880643,103301976,105454010,111788289,116743678,118987641,128816408,134643714,139396983
 "25000","Massachusetts",1,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",30693906,29636661,29665322,30981779,31801965,33704450,33849448,28212634,32978868,33287307,33652053,40933659,40078150,41393170,47277233,49681826,50723130,57267692,58302344,62200813
 "25000","Massachusetts",1,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",39160807,40423963,40325133,42636998,45608578,47072553,49763264,55403327,53519593,57459938,59727743,60946984,63223827,64060840,64511057,67061852,68264511,71548715,76341370,77196170
 "25000","Massachusetts",1,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",44396552,43704415,44795938,48475470,51972119,55505566,59939830,65196923,62373291,65970846,69821823,74043280,75202297,78402596,84708213,88081293,94694023,102188128,109713711,110307147
 "25000","Massachusetts",1,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",29786832,29875817,30334440,33143863,35433317,37948272,40643963,45658436,43889507,46677569,48703578,52433815,52790583,55177481,59519534,62997534,68045736,73190729,79062981,81156158
 "25000","Massachusetts",1,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",6779943,6265118,6503559,6930914,7286386,7684337,8353037,8441671,8317105,8510207,9848158,10030188,10502154,10771999,12046209,11397563,11841352,13388281,13739633,13430278
 "25000","Massachusetts",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",7829777,7563480,7957939,8400693,9252417,9872958,10942830,11096816,10166679,10783070,11270087,11579277,11909559,12453116,13142471,13686195,14806935,15609118,16911097,15720712
 "25000","Massachusetts",1,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",28834990,30770190,32809187,35077254,36737083,39340345,42145136,46334309,49395043,52007518,53924924,56640916,58210469,60213165,62987129,65969261,67885357,69179771,72598865,69261448
 "25000","Massachusetts",1,CAGDP2,69,"61","   Educational services","Thousands of dollars",7322381,7622487,8120085,8895998,9002245,9451339,10204296,11233391,12309758,13130001,13688342,14167163,14484253,14849275,15373408,16140408,16514522,17192415,18237532,17067398
 "25000","Massachusetts",1,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",21512608,23147703,24689102,26181256,27734838,29889006,31940840,35100918,37085285,38877517,40236582,42473753,43726216,45363889,47613721,49828852,51370835,51987355,54361333,52194050
 "25000","Massachusetts",1,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",9936875,10556177,10522738,11455591,11880796,11960304,12267029,12705804,13219352,14401264,14906856,15820514,16993887,18595460,20543421,21896653,22516118,23774480,25236301,16624292
 "25000","Massachusetts",1,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",2361811,2588078,2321488,2717903,2955340,2880855,2952243,3068404,3372237,3929018,4004593,4151562,4808268,5865510,6399396,6806393,6615926,6960131,7163377,4184643
 "25000","Massachusetts",1,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",7575064,7968099,8201249,8737688,8925455,9079449,9314785,9637400,9847115,10472246,10902263,11668952,12185618,12729950,14144026,15090260,15900192,16814349,18072924,12439649
 "25000","Massachusetts",1,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",6652952,7284982,7161254,7396824,7639520,7824960,7949446,7988561,7912249,7950117,8072485,8370644,8520123,9099429,9427200,9768351,10003429,10716197,11273362,10045596
 "25000","Massachusetts",1,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",31481562,32864115,33953218,35428389,37117360,39054616,41683964,43732727,44680944,45317194,48188417,46712994,48382737,50027034,51836042,51834746,53354570,55963347,57419145,56967769
 "25000","Massachusetts",1,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",803891,819979,843140,917486,968115,1167500,1201232,1098345,1190060,1388145,1238305,1238136,1101345,920251,984883,986132,965779,950334,1030318,984550
 "25000","Massachusetts",1,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",32706012,32298263,34102875,35928574,36481712,37743149,38193210,38822124,38324477,39883216,40534106,40939600,42634073,43780969,46035836,47316257,48556257,49454300,51776053,51232592
 "25000","Massachusetts",1,CAGDP2,89,"22, 48-49","Transportation and utilities","Thousands of dollars",8414255,8063851,8650375,9191294,9627415,10871094,11234884,12209739,11008066,12141860,12723660,12547942,13314089,14081111,15024999,15180136,16743583,17848359,19605356,16688643
 "25000","Massachusetts",1,CAGDP2,90,"31-33, 51","Manufacturing and information","Thousands of dollars",51011893,52393626,55285491,55235022,57210821,59881984,65202386,65095552,63257833,69283806,70201326,70996783,71969891,74385245,78359357,78399911,78757834,84017531,87368603,89138377
 "25000","Massachusetts",1,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",50464714,50820776,54108435,52930324,54372005,57421218,61363943,57234035,55171265,58476981,59131224,61640981,62397563,65253910,69400838,69875166,70960993,75778692,78656708,77431549
 "25000","Massachusetts",1,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",214922411,218151507,223126928,238378345,250503786,262794155,275471187,289811610,290652627,307341902,318203348,334562937,343540898,355187595,377614458,392927655,408038731,432305262,457180851,448077505
 "25001","Barnstable, MA",1,CAGDP2,1,"...","All industry total","Thousands of dollars",8577350,8876320,9088303,9606846,9776172,9681121,10031708,10631824,10336738,10685011,11030786,11181438,11489407,12000711,12449071,12740593,12942875,13546025,14325097,13676996
 "25001","Barnstable, MA",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",7468072,7715737,7846218,8303147,8394585,8228168,8448697,8975876,8664850,8972260,9251724,9435009,9674084,10176432,10582920,10884369,11031183,11551142,12284819,11647469
 "25001","Barnstable, MA",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",39923,40150,35123,33175,40053,40058,50212,35886,31573,46981,50044,58330,50662,38161,(D),45457,(D),(D),61437,58631
 "25001","Barnstable, MA",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",8201,7662,7415,9088,7546,7438,9981,8092,8096,9385,11506,13637,14726,17166,19068,23962,17153,18141,23919,23924
 "25001","Barnstable, MA",1,CAGDP2,10,"22","  Utilities","Thousands of dollars",435851,318620,293319,365627,349079,186037,243468,225520,112544,64041,55405,45467,59743,100856,87359,59086,60286,81417,108557,114647
 "25001","Barnstable, MA",1,CAGDP2,11,"23","  Construction","Thousands of dollars",632950,664918,721158,797737,837617,854065,789585,696609,660930,666238,683814,787657,774555,834152,868220,907851,902655,928632,975981,962799
 "25001","Barnstable, MA",1,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",224627,221406,225088,196262,205467,223375,228976,223325,219843,225320,218448,212982,213067,235009,(D),315074,(D),(D),418870,439268
 "25001","Barnstable, MA",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",151713,(D),(D),(D),140000,150553,(D),(D),(D),152946,150936,145535,137390,144955,168299,189676,193663,203567,(D),233825
 "25001","Barnstable, MA",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",72914,(D),(D),(D),65467,72822,(D),(D),(D),72375,67512,67447,75677,90053,(D),125398,(D),(D),(D),205443
 "25001","Barnstable, MA",1,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",164291,166368,175539,178868,196261,205535,204182,216379,208722,237300,251649,250248,268554,274259,290007,284929,297655,298597,309882,308572
 "25001","Barnstable, MA",1,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",722210,753056,818362,870172,867574,837656,809734,770687,758862,771045,769866,792906,818049,831702,874148,899321,911749,939233,987080,976976
 "25001","Barnstable, MA",1,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",91169,89932,90776,119691,118578,120760,115906,124869,130672,133659,135685,133753,127815,132896,148876,145909,168592,189163,195301,143860
